NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
32	1601.874	9.138	247.772	7.96	0.016	0.989	60000.0
33	1596.645	9.106	247.23	7.928	0.016	0.989	170000.0
34	1598.814	9.104	247.733	7.964	0.016	0.989	90000.0
35	1604.143	9.177	247.614	8.012	0.016	0.988	70000.0
36	1609.083	9.131	249.192	7.971	0.015	0.989	90000.0
37	1600.633	9.135	247.757	7.977	0.016	0.989	80000.0
38	1595.15	9.1	246.917	7.939	0.016	0.989	60000.0
39	1605.745	9.164	249.029	8.003	0.015	0.989	90000.0
40	1594.179	9.074	247.467	7.968	0.015	0.989	60000.0
41	1600.578	9.127	247.886	7.989	0.016	0.989	110000.0
42	1604.3	9.15	248.589	8.008	0.016	0.989	40000.0
43	1604.17	9.115	248.36	7.958	0.015	0.989	50000.0
44	1603.44	9.202	248.766	8.054	0.016	0.988	70000.0
45	1599.926	9.117	247.869	7.981	0.016	0.989	40000.0
46	1600.599	9.118	248.173	7.948	0.016	0.989	60000.0
47	1602.895	9.146	248.547	7.983	0.016	0.989	90000.0
48	1601.3	9.102	247.921	7.978	0.015	0.989	60000.0
49	1606.804	9.157	249.339	7.987	0.016	0.989	40000.0
50	1597.547	9.136	247.651	7.993	0.016	0.989	40000.0
51	1604.27	9.179	248.106	8.044	0.016	0.988	50000.0
52	1603.317	9.146	247.531	7.971	0.016	0.989	90000.0
53	1600.403	9.129	247.507	7.986	0.015	0.989	80000.0
54	1598.969	9.061	247.142	7.915	0.015	0.989	70000.0
55	1600.362	9.128	247.624	7.97	0.016	0.989	90000.0
56	1600.59	9.159	247.972	8.005	0.016	0.989	90000.0
57	1598.742	9.131	247.125	7.968	0.016	0.988	70000.0
58	1607.258	9.138	248.959	7.996	0.016	0.989	50000.0
59	1598.221	9.082	247.194	7.947	0.015	0.989	80000.0
60	1598.836	9.127	247.787	7.963	0.016	0.989	90000.0
61	1595.099	9.083	246.306	7.95	0.015	0.989	50000.0
62	1592.731	9.092	246.036	7.946	0.016	0.989	100000.0
63	1597.627	9.09	248.103	7.956	0.016	0.989	80000.0
64	1600.241	9.144	247.529	7.994	0.016	0.989	80000.0
65	1598.195	9.093	248.433	7.951	0.015	0.989	40000.0
66	1605.932	9.182	249.301	8.053	0.016	0.988	70000.0
67	1602.134	9.143	248.225	7.989	0.016	0.989	90000.0
68	1602.386	9.094	249.043	7.998	0.015	0.989	120000.0
