Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T
LP6005690-DNA_H02_vs_LP6005689-DNA_H02__pv	15378	21921	55	5141	1578	0	1187	1160	695	115	982	452	692	1235	877	828	388	913	697	744
LP6005691-DNA_A01_vs_LP6005689-DNA_C01__pv	706	1049	514	511	1431	352	781	1874	1037	305	0	611	202	177	206	211	88	301	298	302
LP6005691-DNA_A02_vs_LP6005689-DNA_F03__pv	396	578	317	233	690	392	317	597	377	157	140	210	408	137	134	338	132	0	80	59
LP6005691-DNA_B01_vs_LP6005689-DNA_E01__pv	5550	6522	1198	2845	1244	1177	918	4414	3503	1020	271	382	575	914	1240	1033	753	0	617	1076
LP6005691-DNA_C01_vs_LP6005689-DNA_A02__pv	296	361	701	114	1395	102	1529	2358	1106	267	0	359	380	90	271	413	200	0	26	262
LP6005691-DNA_D01_vs_LP6005689-DNA_B02__pv	23615	23031	804	13844	605	140	175	955	1338	0	484	561	0	987	555	236	973	1455	0	353
LP6005691-DNA_E01_vs_LP6005689-DNA_D01__pv	775	1262	1004	741	401	296	78	133	1015	0	0	132	737	9	284	115	120	0	0	42
LP6005691-DNA_F01_vs_LP6005689-DNA_F01__pv	5529	6556	687	1598	1012	636	531	961	1071	242	0	174	552	617	598	214	334	1403	0	136
LP6005691-DNA_G01_vs_LP6005689-DNA_G01__pv	0	0	33	8	65	0	19	10	20	0	40	0	27	0	18	16	1	0	16	0
LP6005691-DNA_H01_vs_LP6005689-DNA_H01__pv	1342	1378	247	697	306	179	235	487	515	60	205	14	143	6	135	197	87	0	29	113
LP6005935-DNA_A01_vs_LP6005979-DNA_A01__pv	7451	10171	1143	5096	2165	1095	3494	3058	4575	1823	441	680	678	655	866	1306	319	0	922	997
LP6005935-DNA_A02_vs_LP6005934-DNA_A02__pv	10555	2448	486	2603	898	1045	638	269	877	354	0	1380	25	754	735	619	1065	3497	186	503
LP6005935-DNA_A03_vs_LP6005934-DNA_A03__pv	133	129	361	0	1601	539	568	1417	1402	557	772	816	443	132	396	411	135	516	419	400
LP6005935-DNA_B01_vs_LP6005934-DNA_B01__pv	722	310	687	588	218	1511	292	873	1234	594	869	312	2182	41	1015	484	391	0	751	370
LP6005935-DNA_B02_vs_LP6005934-DNA_B02__pv	5740	5807	1266	2729	665	2256	636	1527	628	341	49	600	654	753	3444	0	2153	2484	333	685
LP6005935-DNA_B03_vs_LP6005934-DNA_B03__pv	18082	9363	40	3416	1106	691	832	3410	578	444	113	493	1570	1841	3743	267	2443	0	507	138
LP6005935-DNA_B04_vs_LP6005934-DNA_B04__pv	855	663	593	456	2775	1377	1045	2552	1703	720	276	630	642	616	295	619	299	0	503	816
LP6005935-DNA_C01_vs_LP6005934-DNA_C01__pv	8257	2531	4843	4602	9110	760	1748	2419	0	94960	40676	0	0	2389	0	2492	862	1433	4929	1333
LP6005935-DNA_C02_vs_LP6005979-DNA_B01__pv	5298	6620	831	1870	2058	2247	2928	1416	1071	874	556	330	961	738	878	838	735	1174	688	823
LP6005935-DNA_C03_vs_LP6005934-DNA_C03__pv	357	287	323	94	731	453	561	473	483	180	255	34	426	208	101	224	84	0	137	196
LP6005935-DNA_C04_vs_LP6005934-DNA_C04__pv	11409	11841	348	10425	1702	1537	1267	2514	1989	294	1890	820	1866	2162	680	2670	743	1009	715	1047
LP6005935-DNA_D01_vs_LP6005934-DNA_D01__pv	6395	10619	1182	3225	1556	1406	2084	3465	2110	885	222	286	258	968	544	620	419	730	0	658
