Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
LP6005935-DNA_A02_vs_LP6005934-DNA_A02__pv	3088	11733	37	1828	1498	778	2736	1512	1934	783	1181	1362	467
LP6005935-DNA_A03_vs_LP6005934-DNA_A03__pv	222	224	503	705	2205	782	11	1275	1913	1875	521	243	668
LP6005935-DNA_B01_vs_LP6005934-DNA_B01__pv	407	684	914	2418	369	584	623	846	2354	1091	1277	382	1495
LP6005935-DNA_B02_vs_LP6005934-DNA_B02__pv	6650	6016	1214	4140	975	311	2870	747	227	2034	4788	2038	740
LP6005935-DNA_B03_vs_LP6005934-DNA_B03__pv	10902	18021	581	2342	1476	612	3081	473	0	3290	5318	2388	593
LP6005935-DNA_B04_vs_LP6005934-DNA_B04__pv	850	819	759	1828	3637	1374	505	672	2021	3337	405	459	769
LP6005935-DNA_C01_vs_LP6005934-DNA_C01__pv	785	10618	5870	1119	9221	22683	1867	118486	0	3878	0	646	8171
LP6005935-DNA_C02_vs_LP6005979-DNA_B01__pv	7583	5250	1369	3124	2647	3542	1846	506	1432	2177	1381	751	1326
LP6005935-DNA_C03_vs_LP6005934-DNA_C03__pv	370	322	549	627	910	689	110	84	713	664	168	90	311
LP6005935-DNA_C04_vs_LP6005934-DNA_C04__pv	13860	11419	982	1034	2274	2578	10929	1233	5208	3387	695	2065	1264
LP6005935-DNA_D01_vs_LP6005934-DNA_D01__pv	12006	6122	1355	2292	2127	2646	3186	653	1791	4283	778	393	0
LP6005935-DNA_D02_vs_LP6005934-DNA_D02__pv	8736	3929	1131	2288	507	1375	3610	622	1444	1155	1092	598	364
LP6005935-DNA_D04_vs_LP6005934-DNA_C03__pv	1070	812	289	482	741	736	543	424	1005	1434	239	88	55
LP6005935-DNA_E01_vs_LP6005934-DNA_E01__pv	9696	11684	746	1654	2607	1293	8379	869	2149	1930	1296	503	962
LP6005935-DNA_E02_vs_LP6005934-DNA_E02__pv	4643	2946	1056	3069	1388	2005	2297	176	1182	1027	1460	0	1133
LP6005935-DNA_E03_vs_LP6005934-DNA_E03__pv	3519	2689	639	1728	1832	2925	937	0	2003	1836	564	728	834
LP6005935-DNA_E04_vs_LP6005934-DNA_E02__pv	2352	1535	526	837	904	442	929	217	691	1068	166	16	183
LP6005935-DNA_F01_vs_LP6005934-DNA_F01__pv	111	73	770	2959	365	142	116	552	801	243	377	1634	634
LP6005935-DNA_F02_vs_LP6005934-DNA_F02__pv	25684	24020	3088	157	0	3422	36819	1190	4375	294	2785	1096	258
LP6005935-DNA_F03_vs_LP6005934-DNA_F03__pv	730	822	1314	2053	18208	7329	596	27433	1190	832	1053	0	27
LP6005935-DNA_F04_vs_LP6007426-DNA_A01__pv	22931	16469	209	1290	123	0	7971	1294	0	1516	2307	6966	0
LP6005935-DNA_G01_vs_LP6005934-DNA_G01__pv	3896	10445	600	213	2702	2982	6422	502	2440	589	929	598	354
LP6005935-DNA_G02_vs_LP6005979-DNA_C01__pv	691	494	430	3220	1891	830	526	1766	2303	5537	613	1313	1367
LP6005935-DNA_G03_vs_LP6005934-DNA_G03__pv	974	306	189	855	616	689	0	508	2423	1334	949	585	704
LP6005935-DNA_H01_vs_LP6005934-DNA_H01__pv	6327	3946	891	3743	1991	952	3010	1042	2239	3747	1743	1216	1406
LP6005935-DNA_H02_vs_LP6005934-DNA_H02__pv	2466	2747	1343	3130	2196	302	777	861	2858	1774	2568	1851	1647
LP6005935-DNA_H03_vs_LP6005934-DNA_H03__pv	1130	0	4818	1631	14480	2152	2664	31885	3783	2112	676	336	0
LP6007358-DNA_A01_vs_LP6007553-DNA_A01__pv	2239	1405	695	1508	1092	1505	775	676	1921	2684	641	332	557
LP6007394-DNA_A01_vs_LP6007393-DNA_A01__pv	2764	2000	493	1017	1629	500	1560	0	1660	541	699	55	427
LP6007396-DNA_A01_vs_LP6007395-DNA_A01__pv	3283	2513	1439	2126	2315	2147	1025	284	1199	1747	1069	756	703
LP6007398-DNA_A01_vs_LP6007397-DNA_A01__pv	1987	748	791	1192	1618	4002	349	464	595	1122	1458	80	258
LP6007399-DNA_A01_vs_LP6007397-DNA_A01__pv	2001	774	787	1100	1593	3750	290	481	611	1106	1417	104	276
LP6007401-DNA_A01_vs_LP6007400-DNA_A01__pv	8656	8551	1881	1612	1537	1728	2136	875	1247	1643	7400	827	1244
LP6007402-DNA_A01_vs_LP6007400-DNA_A01__pv	4878	4637	302	616	884	563	2214	357	727	979	625	256	269
LP6007404-DNA_A01_vs_LP6007403-DNA_A01__pv	443	807	661	1867	1801	871	249	783	1979	2053	323	146	545
LP6007405-DNA_A01_vs_LP6007403-DNA_A01__pv	1200	955	317	410	501	161	470	110	674	715	159	14	193
LP6007407-DNA_A01_vs_LP6007406-DNA_A01__pv	6184	5436	0	1998	2533	2905	5891	1089	3292	2522	669	922	770
LP6007409-DNA_A01_vs_LP6007408-DNA_A01__pv	1265	717	915	1461	2803	548	290	479	2149	1262	1057	363	778
LP6007410-DNA_A01_vs_LP6007408-DNA_A01__pv	4165	3015	817	1153	2078	836	1812	328	2299	2095	858	140	546
LP6007414-DNA_A02_vs_LP6007413-DNA_A02__pv	289	262	368	1334	1606	703	197	919	1790	2018	659	488	365
LP6007416-DNA_A01_vs_LP6007415-DNA_A01__pv	1593	963	1027	2271	2277	2769	451	684	2735	2387	551	621	401
LP6007418-DNA_A02_vs_LP6007417-DNA_A02__pv	4826	2783	2502	3318	783	703	1132	1804	3746	718	2237	461	893
LP6007420-DNA_A01_vs_LP6007419-DNA_A01__pv	16288	10213	1295	0	144	2586	5294	0	3738	565	1380	3684	1031
LP6007422-DNA_A01_vs_LP6007421-DNA_A01__pv	1031	1073	798	1708	1376	847	1029	733	2380	1216	421	74	591
LP6007424-DNA_A01_vs_LP6007423-DNA_A01__pv	4938	1604	906	5924	950	1050	2607	1093	2309	937	466	1064	1696
LP6007425-DNA_A01_vs_LP6007423-DNA_A01__pv	5151	1633	807	6142	969	868	2396	1179	2040	932	520	1066	1639
LP6007427-DNA_A01_vs_LP6007426-DNA_A01__pv	29487	20673	0	2556	166	0	10057	1524	0	1520	3637	9023	0
LP6007428-DNA_A01_vs_LP6007426-DNA_A01__pv	181	186	869	491	376	327	76	0	224	192	132	36	265
LP6007430-DNA_A01_vs_LP6007429-DNA_A01__pv	3509	1344	716	1273	2997	1816	669	1092	2397	3471	934	450	614
LP6007432-DNA_A01_vs_LP6007431-DNA_A01__pv	16364	13684	0	1492	438	267	6052	258	1022	28	3188	1743	1588
