Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
SLX-18950	536	177	624	294	430	222	105	169	280	351	164	77	195
SM-4AX82_vs_SM-4AWN8__pv	2144	1379	1264	2450	2152	883	665	581	1635	3102	709	280	856
SM-4AX83_vs_SM-4AWN9__pv	1288	466	492	1216	405	430	629	352	313	671	285	537	213
SM-4AX84_vs_SM-4AWNA__pv	7621	6016	694	1394	1719	742	3545	776	1687	2875	93	507	381
SM-4AX85_vs_SM-4AWNB__pv	168	375	2272	2074	2002	1455	438	1096	1611	2255	193	822	619
SM-4AX86_vs_SM-4AWNC__pv	4082	3606	1303	1719	1126	1766	1189	355	555	1777	938	1287	445
SM-4AX87_vs_SM-4AWND__pv	56	137	332	517	665	521	116	164	578	1425	261	38	160
SM-4B295_vs_SM-4AWNE__pv	6978	4997	1535	3658	1429	2028	1788	625	1999	1602	1576	914	831
SM-4B296_vs_SM-4AWNF__pv	6588	6759	2969	8373	642	1411	3335	2145	3364	1257	1437	6304	2944
SM-4JPP6_vs_SM-4JPUS__pv	1467	802	940	2323	1322	1527	444	1022	2199	3847	2523	379	1599
SM-4JPP7_vs_SM-4JPUT__pv	877	964	533	1352	1291	430	699	528	1797	598	580	790	453
SM-4JPP9_vs_SM-4JPUT__pv	1007	968	510	1245	1232	416	750	459	1685	557	592	742	476
SM-4JPPA_vs_LP6005333-DNA_B01__pv	2585	1452	756	2122	4304	5547	1048	849	4043	4863	1160	121	872
SM-4JPPB_vs_LP6005333-DNA_B01__pv	2117	1482	921	1872	4282	5585	937	801	3743	4913	1145	182	892
SM-4JPPC_vs_LP6005333-DNA_B01__pv	2743	1408	841	2011	4342	5558	1089	853	3883	4916	1143	181	824
SM-4JPUV_vs_SM-4JPUS__pv	98	138	236	819	665	415	172	306	837	556	468	87	316
SM-4JPUW_vs_SM-4JPUS__pv	0	0	6	16	7	0	14	15	58	0	34	0	0
SM-4JPUX_vs_SM-4JPUT__pv	508	415	939	1155	1025	623	411	79	1498	504	702	456	376
SM-4JPUY_vs_LP6005333-DNA_B01__pv	3668	2142	663	2129	4302	5725	1810	924	4090	4955	1146	85	992
SM-4JPUZ_vs_LP6005333-DNA_B01__pv	3614	2056	869	2066	3892	5435	1764	778	4088	4800	1047	128	971
SM-4JPV1_vs_SM-4JPUS__pv	1247	796	960	1917	1187	1398	291	771	1903	3258	2249	303	1312
SM-4JPV2_vs_SM-4JPUS__pv	1800	1214	915	2115	1337	1637	473	942	2252	3909	2595	321	1466
SS6003109_vs_SS6003108__pv	5344	2934	959	3236	1071	503	1603	798	279	1690	1198	3348	451
SS6003111_vs_SS6003110__pv	2619	2378	959	3747	2630	1165	1621	940	3125	2877	793	749	765
SS6003113_vs_SS6003112__pv	3569	6246	469	731	1393	281	714	103	614	1730	824	435	356
SS6003115_vs_SS6003114__pv	8851	7209	608	1698	1366	1208	4811	396	1335	1976	597	734	476
SS6003117_vs_SS6003116__pv	86	0	0	0	1223	2052	46	0	1985	773	0	4671	0
SS6003119_vs_SS6003118__pv	115	174	415	1288	854	506	188	353	1001	526	281	129	751
SS6003121_vs_SS6003120__pv	2097	26007	815	3014	2374	700	6931	665	289	1523	2070	1834	529
SS6003125_vs_SS6003124__pv	5417	4257	268	1306	1214	504	712	382	1403	1614	1199	447	757
SS6003129_vs_SS6003128__pv	6636	5312	703	2593	2961	3118	2978	686	2704	2894	1355	542	743
SS6003131_vs_SS6003130__pv	308	157	598	745	1347	785	247	183	922	1280	209	251	456
SS6003133_vs_SS6003132__pv	529	89	777	0	980	2001	225	21	841	6493	0	2883	356
SS6003135_vs_SS6003134__pv	15963	7631	531	1052	982	596	3699	742	1194	1040	734	1152	448
SS6003137_vs_SS6003136__pv	1591	1060	732	1376	1850	769	381	813	1857	2644	584	61	687
SS6003149_vs_SS6003148__pv	21553	16411	294	990	1560	3376	15051	711	2963	565	2586	3089	1630
SS6003302_vs_SS6003301__pv	3077	2695	602	1462	1375	1054	721	781	2187	1785	1581	582	598
SS6003303_vs_SS6003301__pv	2098	1957	494	1285	1018	484	419	417	1396	1380	814	583	437
SS6003305_vs_SS6003304__pv	163	139	717	4378	1091	389	255	694	984	769	381	1488	1640
SS6003306_vs_SS6003304__pv	249	223	816	2337	1006	209	109	408	637	581	433	926	793
SS6003308_vs_SS6003307__pv	785	420	662	502	1241	1617	306	18	921	910	454	528	404
SS6003309_vs_SS6003307__pv	948	376	722	1008	1466	2085	326	65	1221	1228	577	766	523
SS6003311_vs_SS6003310__pv	213	135	821	832	1523	1123	206	2134	2571	10765	515	223	173
SS6003312_vs_SS6003310__pv	33	140	520	443	1321	600	130	2319	2602	10405	473	272	75
SS6003314_vs_SS6003313__pv	5368	3888	495	1182	885	1149	2680	587	1063	973	502	1213	264
SS6003315_vs_SS6003313__pv	5363	3933	436	1231	899	1106	2741	631	1028	952	503	1237	260
SS6003317_vs_SS6003316__pv	15007	7830	366	1302	1460	2298	5057	459	879	1754	439	304	800
SS6003318_vs_SS6003316__pv	14937	7901	368	1471	1485	2429	5096	478	894	1767	476	287	795
SS6003320_vs_SS6003319__pv	5989	5336	802	1591	2651	667	1535	1026	1788	1512	1601	1139	634
SS6003321_vs_SS6003319__pv	5809	5109	636	1668	2422	613	1491	1030	1568	1468	1570	940	611
SS6003323_vs_SS6003322__pv	4731	886	855	1353	2150	1971	2934	551	1553	1524	0	536	559
SS6003324_vs_SS6003322__pv	3432	742	1092	1314	1917	1563	1974	231	1333	1287	117	573	668
