Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P
PD44856a_vs_PD44856b__pv	11209	6518	762	1967	3922	537	2662	0	1155	1111	1521	947	247	456	632	871
PD44857a_vs_PD44857b__pv	11266	11306	851	1091	3890	2230	370	249	932	1302	401	1754	621	594	351	327
PD44859a_vs_PD44859b__pv	3637	6506	2782	4718	3684	2476	0	20944	162	0	3401	4871	1424	44	652	1334
PD44861a_vs_PD44861b__pv	2507	2322	654	1188	2126	2542	2150	1130	1954	893	2072	618	466	611	891	502
PD44862a_vs_PD44862b__pv	33	1929	1292	472	1360	2464	621	557	34	379	373	586	2440	936	3275	379
PD44863a_vs_PD44863b__pv	4268	4279	727	1787	465	921	953	412	2912	975	400	703	957	406	1526	220
PD44864a_vs_PD44864b__pv	6176	5347	826	1016	1586	802	1906	337	1196	1469	850	679	730	752	820	375
PD44904a_vs_PD44904b__pv	8910	6663	1717	1551	5862	5105	1388	1547	1540	5738	474	1195	499	1803	761	1219
PD44905a_vs_PD44905b__pv	645	687	1192	965	955	3081	1466	702	480	2192	1169	701	1421	733	1117	564
PD44906a_vs_PD44906b__pv	909	1892	437	722	1846	1578	642	639	636	2332	581	307	193	428	581	462
PD44908a_vs_PD44908b__pv	4666	6361	629	1453	1341	958	1048	423	509	2039	971	1119	302	921	728	794
PD44909a_vs_PD44909b__pv	387	99	752	2030	51	329	595	0	1657	857	200	570	78	315	265	184
PD44910a_vs_PD44910b__pv	4003	2507	493	2011	1981	1259	808	574	2432	611	2735	856	460	460	927	379
PD44912a_vs_PD44912b__pv	23868	9949	2024	1262	1846	2409	1932	852	2510	0	2300	1204	1652	2491	938	731
PD44913a_vs_PD44913b__pv	559	1078	1251	1083	881	2370	581	231	1252	1448	307	971	679	795	227	641
PD44914a_vs_PD44914b__pv	1170	1668	2021	1078	165	2593	1177	424	1032	2256	836	1304	1744	2070	472	725
PD44915a_vs_PD44915b__pv	2054	2829	380	724	824	954	785	288	2055	893	991	643	574	511	242	358
PD44916a_vs_PD44916b__pv	693	511	488	1342	76	269	853	37	733	1217	934	527	612	1373	682	512
PD44917a_vs_PD44917b__pv	26	25	265	363	4	492	313	113	264	630	0	134	342	90	197	252
PD44918a_vs_PD44918b__pv	2838	3012	440	1409	1381	329	1342	263	1412	482	1177	385	619	232	750	243
PD44919a_vs_PD44919b__pv	5297	1087	866	1502	2443	873	1049	0	1112	253	989	577	338	0	507	379
PD44920a_vs_PD44920b__pv	6151	4736	609	887	3485	1030	479	517	722	1173	680	614	340	538	554	567
PD44921a_vs_PD44921b__pv	824	1073	216	551	509	581	221	185	199	723	120	278	199	378	126	194
PD44922a_vs_PD44922b__pv	19233	17486	1223	428	16381	3320	2731	186	1780	2352	1212	1001	1483	1238	2418	428
PD44923a_vs_PD44923b__pv	2276	1240	2414	2278	731	5012	3855	1053	2475	4516	1350	1344	1528	338	1556	2147
PD44924a_vs_PD44924b__pv	565	590	890	3020	255	1325	845	0	1353	788	1023	777	656	409	393	516
PD44925a_vs_PD44925b__pv	2500	2067	394	1042	1331	2928	1684	1503	3911	2198	1566	602	642	1010	1205	728
PD44926a_vs_PD44926b__pv	901	588	894	2304	104	782	855	166	1722	714	1441	578	241	220	507	288
PD44927a_vs_PD44927b__pv	6384	3972	524	1692	2752	1369	679	512	1303	0	1799	604	571	303	580	249
PD44928a_vs_PD44928b__pv	3490	1188	634	2367	1137	1047	1065	753	2857	1049	2579	572	86	233	540	307
PD44929a_vs_PD44929b__pv	5071	3180	607	1817	2951	1282	914	541	981	1157	1330	575	621	500	596	312
PD44930a_vs_PD44930b__pv	3313	8531	0	1309	1518	1832	1141	898	1480	2678	1908	1184	3740	4339	506	899
PD44931a_vs_PD44931b__pv	6020	10990	0	7306	7082	1111	650	36237	603	484	2721	22665	90	432	791	933
PD44932a_vs_PD44932b__pv	7704	1942	437	1129	2349	1288	598	639	1512	1612	707	471	176	26	452	551
PD44933a_vs_PD44933b__pv	46	0	761	887	94	867	678	295	159	273	3	292	2804	200	1609	250
PD44934a_vs_PD44934b__pv	35031	9141	2395	618	10990	4318	0	434	2024	0	254	2314	986	0	1249	159
PD44935a_vs_PD44935b__pv	1095	809	797	713	664	2049	816	691	2043	2431	1402	976	370	334	602	360
PD44936a_vs_PD44936b__pv	762	847	489	994	401	293	464	123	404	699	634	577	297	449	189	93
PD44937a_vs_PD44937b__pv	2839	3753	1789	1831	1407	1784	1326	54	1598	1822	1754	1140	1281	1759	1898	1027
PD44938a_vs_PD44938b__pv	3444	3129	214	739	2396	1001	2265	1173	924	970	1861	616	0	460	472	2865
PD44939a_vs_PD44939b__pv	1241	766	892	2014	689	1374	1085	457	1937	1236	1404	710	723	442	799	506
PD44941a_vs_PD44941b__pv	997	410	691	1457	380	2442	1033	329	1860	2203	0	921	511	543	330	380
PD44942a_vs_PD44942b__pv	3866	2348	594	2092	1419	657	1064	328	1550	1190	928	476	286	184	436	401
PD44943a_vs_PD44943b__pv	158	242	526	992	230	874	203	529	1151	1151	760	392	82	329	291	462
PD44944a_vs_PD44944b__pv	3208	1713	495	1355	1390	1059	1083	877	1611	1498	2018	576	277	324	384	664
PD44945a_vs_PD44945b__pv	12987	12542	968	757	5737	2209	678	75	2443	224	1014	1384	1914	1294	0	171
PD44946a_vs_PD44946b__pv	2226	2220	890	1861	698	1607	608	234	1448	908	1042	412	819	666	181	538
PD44947a_vs_PD44947b__pv	346	248	232	391	305	354	181	86	508	434	227	165	176	192	173	126
PD44948a_vs_PD44948b__pv	5235	6700	455	1127	1900	623	902	529	715	2547	595	820	1991	666	2583	678
PD44949a_vs_PD44949b__pv	2285	1600	572	1664	996	109	1029	334	1078	780	140	563	354	855	2577	199
PD44950a_vs_PD44950b__pv	626	291	187	501	283	490	312	46	947	0	662	326	306	172	71	235
PD46225a_vs_PD46225b__pv	2224	2360	538	2210	438	1496	1247	576	3313	1367	1452	978	1102	793	1222	245
PD46226a_vs_PD46226b__pv	1874	50	378	3366	277	2124	1171	505	1627	1061	2131	1158	874	1280	1070	607
PD46227a_vs_PD46227b__pv	4433	15812	2139	816	1176	3822	98	1767	460	1225	1282	1482	1977	11764	220	1437
PD46228a_vs_PD46228b__pv	7762	3990	636	1555	1262	905	551	0	3237	170	1263	1030	362	252	568	295
PD46229a_vs_PD46229b__pv	8739	9878	425	1506	2423	2267	635	945	1860	2615	1365	1318	720	841	1096	828
PD46230a_vs_PD46230b__pv	1883	1375	650	1245	1233	1148	460	1011	2206	672	1903	562	4369	328	2198	319
PD46231a_vs_PD46231b__pv	108	43	226	648	67	452	307	286	625	1284	455	232	476	90	828	168
PD46232a_vs_PD46232b__pv	2013	1384	446	1155	806	877	1510	175	1393	1548	1231	283	326	344	477	138
PD46233a_vs_PD46233b__pv	1265	5413	1874	1685	3261	6087	410	1029	1109	2735	0	1538	2254	2179	292	559
PD46234a_vs_PD46234b__pv	62	18	785	581	163	655	770	465	911	1060	950	482	279	420	424	240
PD46235a_vs_PD46235b__pv	4037	1864	773	3468	662	482	1053	399	1966	1515	1888	726	520	733	1176	385
PD46236a_vs_PD46236b__pv	1628	989	765	2357	701	1012	1107	83	2926	1701	1254	1282	447	544	326	356
PD46237a_vs_PD46237b__pv	12753	2341	1633	2134	3580	4320	996	1360	1744	2670	1001	925	765	1555	828	889
PD46238a_vs_PD46238b__pv	1043	556	1081	0	689	3871	218	938	845	3556	0	557	591	918	487	818
PD46239a_vs_PD46239b__pv	2167	1884	746	1497	978	976	589	380	1049	762	967	592	397	326	464	298
PD46240a_vs_PD46240b__pv	667	425	781	973	69	1081	875	337	577	1011	701	643	100	457	271	364
PD46241a_vs_PD46241b__pv	13055	6392	1313	3460	4688	3027	700	752	2983	2212	1401	1161	962	1386	720	1047
PD46242a_vs_PD46242b__pv	10383	58404	2178	907	3140	4098	1834	1041	1715	0	898	3145	3263	3435	1742	502
PD46243a_vs_PD46243b__pv	501	767	529	2025	562	1521	1448	936	876	2885	1193	951	736	68	1946	862
PD46244a_vs_PD46244b__pv	260	4	775	2313	29	547	1544	0	1960	168	367	779	64	221	442	293
PD46245a_vs_PD46245b__pv	0	0	456	999	289	1288	493	851	2493	3367	0	427	2023	3168	278	501
PD46246a_vs_PD46246b__pv	1616	4418	1146	2270	2168	3562	1209	1106	1094	3302	1415	1379	1532	2770	937	1433
PD46247a_vs_PD46247b__pv	1492	3403	1513	4277	1341	1689	1935	170	1543	1128	1186	1244	802	583	866	660
PD46248a_vs_PD46248b__pv	14312	9354	1275	1346	8014	913	1425	422	1166	0	996	1251	316	341	916	515
PD46249a_vs_PD46249b__pv	9547	6778	833	2426	5890	1524	1617	447	3102	728	2085	1377	184	280	567	358
PD46250a_vs_PD46250b__pv	99	0	1047	398	203	1062	488	542	462	1654	33	357	3102	351	589	446
PD46251a_vs_PD46251b__pv	208	479	2125	8118	486	573	723	23157	1074	0	1171	3769	122	21	359	1102
PD46252a_vs_PD46252b__pv	843	2417	0	695	0	848	0	2679	21229	0	2123	0	1082	166	510	1510
PD46253a_vs_PD46253b__pv	5284	6322	1038	2736	940	860	3584	181	1635	750	2021	1100	582	1473	1391	604
PD46254a_vs_PD46254b__pv	4667	3847	928	1649	2086	622	2276	163	1739	385	1060	520	389	561	574	350
PD46255a_vs_PD46255b__pv	297	573	751	2432	1229	596	1066	315	1869	1423	41	417	389	377	1015	588
PD46256a_vs_PD46256b__pv	1214	3172	797	2055	168	392	866	333	854	710	949	930	118	1142	449	450
PD46257a_vs_PD46257b__pv	141	49	648	2736	17	459	743	404	1794	249	1248	421	339	169	399	251
PD46258a_vs_PD46258b__pv	3475	2449	632	1072	1403	1920	1342	693	1622	1077	1176	308	759	811	593	577
PD46259a_vs_PD46259b__pv	1670	1962	783	690	1241	2360	1475	421	769	1651	1338	604	893	410	882	573
PD46260a_vs_PD46260b__pv	169	233	396	810	88	375	359	544	1007	1106	1055	607	1697	677	1970	99
PD46261a_vs_PD46261b__pv	296	299	712	852	305	829	305	137	707	702	616	633	273	181	386	280
PD46262a_vs_PD46262b__pv	624	554	122	785	72	570	388	180	361	678	441	185	532	300	361	353
PD46263a_vs_PD46263b__pv	4504	1686	638	651	1834	618	1160	22	2709	500	0	721	78	186	295	274
PD46264a_vs_PD46264b__pv	2617	2111	505	471	1166	2299	1028	535	1443	1429	113	590	737	252	644	476
PD46265a_vs_PD46265b__pv	5276	4612	672	1797	2133	1215	1215	480	1452	1000	1936	612	525	248	860	483
PD46267a_vs_PD46267b__pv	0	7	52	46	29	122	0	33	4	91	103	9	37	44	22	3
PD46268a_vs_PD46268b__pv	1530	83	349	1440	601	993	346	825	1277	906	1250	195	320	787	753	608
SLX-16751	1643	1178	354	865	504	315	314	39	657	366	487	333	158	269	182	147
SLX-16752	4268	8835	786	839	4168	617	468	29	730	542	605	428	247	338	235	197
SLX-18929	120805	118792	50579	49887	59933	57252	42012	23249	69208	40141	40108	28615	25884	23483	27967	25865
SLX-18949	13180	12775	952	1852	7520	1257	1265	521	1828	789	1391	834	516	522	548	674
SLX-18950	514	157	589	387	130	284	200	140	320	136	219	109	77	126	72	164
SM-4AX82_vs_SM-4AWN8__pv	2002	1306	1101	1983	696	1662	864	589	2917	1857	1041	328	388	579	309	478
SM-4AX83_vs_SM-4AWN9__pv	1203	453	470	361	681	802	492	261	617	523	327	129	599	136	116	127
SM-4AX84_vs_SM-4AWNA__pv	7080	5889	741	1494	3717	1612	642	443	2614	331	1515	674	370	26	520	382
SM-4AX85_vs_SM-4AWNB__pv	95	344	2115	1826	426	1940	1149	1041	2057	1042	977	445	625	142	766	390
SM-4AX86_vs_SM-4AWNC__pv	3926	3508	1164	1052	1288	1032	1702	398	1633	779	776	141	1293	578	559	319
SM-4AX87_vs_SM-4AWND__pv	45	127	339	580	96	358	466	59	1333	388	417	223	59	205	165	110
SM-4B295_vs_SM-4AWNE__pv	6606	4755	1462	1245	1957	3273	1567	507	1453	1939	994	672	853	1306	901	470
SM-4B296_vs_SM-4AWNF__pv	5943	6461	3057	403	3491	7886	275	1555	1203	4166	0	1800	4582	1504	3307	1895
SM-4JPP6_vs_SM-4JPUS__pv	1383	758	844	1148	347	1160	959	920	3758	3390	314	868	253	2428	964	900
SM-4JPP7_vs_SM-4JPUT__pv	765	944	550	1117	689	1035	353	345	507	926	1279	415	675	442	544	306
SM-4JPP9_vs_SM-4JPUT__pv	891	953	517	1071	742	928	339	310	475	911	1193	374	632	460	519	324
SM-4JPPA_vs_LP6005333-DNA_B01__pv	2494	1372	748	3784	903	1428	4847	565	4379	1479	3575	868	317	683	1519	761
SM-4JPPB_vs_LP6005333-DNA_B01__pv	2060	1399	945	3744	785	1422	4845	456	4426	1102	3355	961	320	677	1536	839
SM-4JPPC_vs_LP6005333-DNA_B01__pv	2647	1324	853	3808	962	1495	4838	526	4420	1207	3492	921	338	665	1531	765
SM-4JPUV_vs_SM-4JPUS__pv	71	130	240	565	136	373	312	216	540	996	301	297	99	445	242	150
SM-4JPUW_vs_SM-4JPUS__pv	0	0	0	7	12	0	0	15	0	46	37	0	0	28	5	0
SM-4JPUX_vs_SM-4JPUT__pv	444	403	904	904	397	882	501	22	436	896	990	261	411	565	449	226
SM-4JPUY_vs_LP6005333-DNA_B01__pv	3486	2068	713	3740	1684	1650	4928	533	4452	1337	3557	1041	232	688	1613	909
SM-4JPUZ_vs_LP6005333-DNA_B01__pv	3431	1996	838	3425	1646	1525	4695	546	4313	1433	3599	779	274	602	1561	845
SM-4JPV1_vs_SM-4JPUS__pv	1189	750	869	1034	210	945	909	694	3177	2825	349	731	209	2136	826	739
SM-4JPV2_vs_SM-4JPUS__pv	1713	1165	789	1178	375	793	1122	892	3818	3401	539	765	260	2449	921	796
SS6003109_vs_SS6003108__pv	5093	2827	957	931	1853	1787	937	432	1549	1052	898	404	3243	569	558	324
SS6003111_vs_SS6003110__pv	2353	2312	952	2312	1631	2537	1166	620	2635	2482	2196	716	892	563	614	387
SS6003113_vs_SS6003112__pv	3431	6037	414	1257	760	689	221	103	1620	506	492	376	324	715	284	236
SS6003115_vs_SS6003114__pv	8215	7163	575	1217	4979	1561	1094	291	1766	579	1409	381	681	371	567	416
SS6003117_vs_SS6003116__pv	0	51	645	1247	62	0	232	174	1000	0	0	423	2277	0	4591	134
SS6003119_vs_SS6003118__pv	87	154	394	744	166	928	435	279	486	984	510	259	181	232	213	529
SS6003121_vs_SS6003120__pv	1661	25860	849	2084	6545	2615	867	510	1346	432	836	1096	1815	1530	428	374
SS6003125_vs_SS6003124__pv	5213	4077	141	1101	814	339	414	440	1558	2033	749	311	438	1055	413	384
SS6003129_vs_SS6003128__pv	6203	5161	697	2588	3003	2539	2397	519	2625	1613	1619	945	376	1161	1313	466
SS6003131_vs_SS6003130__pv	276	148	520	1240	226	672	693	226	1165	410	760	115	219	145	324	349
SS6003133_vs_SS6003132__pv	457	104	773	885	118	0	905	72	6164	767	0	554	1427	252	2475	242
SS6003135_vs_SS6003134__pv	15191	7263	647	737	4250	903	577	190	920	512	1218	895	1009	446	504	502
SS6003137_vs_SS6003136__pv	1499	973	801	1564	404	985	724	380	2452	1061	1350	774	140	449	303	546
SS6003149_vs_SS6003148__pv	19710	16687	0	1503	15136	407	1898	1430	566	3339	889	555	1795	2645	3251	968
SS6003302_vs_SS6003301__pv	2916	2585	619	1164	747	1104	815	530	1632	1211	1607	634	514	1319	677	426
SS6003303_vs_SS6003301__pv	1985	1873	463	896	444	760	400	327	1291	1199	901	345	520	695	442	241
SS6003305_vs_SS6003304__pv	91	82	622	991	280	3271	451	663	734	2351	140	264	1503	242	373	1030
SS6003306_vs_SS6003304__pv	209	185	723	932	139	1812	288	415	530	1087	347	130	931	290	203	506
SS6003308_vs_SS6003307__pv	764	400	603	1117	266	285	1314	72	831	589	561	211	401	372	678	304
SS6003309_vs_SS6003307__pv	915	344	669	1311	280	818	1656	114	1117	766	685	287	576	478	915	380
SS6003311_vs_SS6003310__pv	131	135	693	1398	160	1107	1218	1605	9956	0	3625	365	276	0	311	254
SS6003312_vs_SS6003310__pv	0	117	360	1230	63	840	707	1819	9610	0	3611	302	243	0	298	133
SS6003314_vs_SS6003313__pv	5019	3848	550	725	2804	791	1104	300	834	369	1216	452	1122	224	598	293
SS6003315_vs_SS6003313__pv	5010	3901	484	744	2865	780	1095	355	813	391	1231	425	1168	210	564	284
SS6003317_vs_SS6003316__pv	14205	7617	246	1309	5424	834	1899	508	1633	1424	500	444	275	342	720	575
SS6003318_vs_SS6003316__pv	14127	7681	264	1319	5452	999	1979	501	1651	1535	402	517	254	388	765	550
SS6003320_vs_SS6003319__pv	5711	5106	925	2226	1692	1096	689	417	1376	987	1439	1208	1068	1241	534	556
SS6003321_vs_SS6003319__pv	5537	4882	793	2003	1652	1182	667	366	1340	906	1298	1224	947	1198	389	551
SS6003323_vs_SS6003322__pv	4328	920	807	1908	2986	1020	1488	501	1418	1518	525	584	325	0	975	300
SS6003324_vs_SS6003322__pv	3152	752	974	1746	2011	1096	1199	317	1182	1160	569	317	369	161	813	425
