Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P
LP6005690-DNA_E03_vs_LP6005689-DNA_E03__pv	1615	809	684	1679	631	1153	1864	489	1915	0	1339	32	93	340	261	710
LP6005690-DNA_F01_vs_LP6005689-DNA_F01__pv	7112	5593	786	1877	2132	495	2288	632	1780	2020	803	329	471	2308	806	453
LP6005690-DNA_F02_vs_LP6005689-DNA_F02__pv	14533	7385	0	859	10160	0	1554	284	1187	2546	0	0	377	438	1473	0
LP6005690-DNA_F03_vs_LP6005689-DNA_F03__pv	1981	1031	809	1614	1047	1218	2141	91	1755	577	1236	629	663	510	1011	626
LP6005690-DNA_G02_vs_LP6005689-DNA_G02__pv	7579	3808	804	1298	2421	894	2045	338	2041	841	1906	318	338	100	775	672
LP6005690-DNA_H02_vs_LP6005689-DNA_H02__pv	23847	14148	617	1791	5565	312	1099	557	1564	0	1678	483	440	1018	996	923
LP6005691-DNA_A01_vs_LP6005689-DNA_C01__pv	1143	690	556	1688	537	503	938	3	2090	469	783	693	116	181	226	340
LP6005691-DNA_A02_vs_LP6005689-DNA_F03__pv	633	338	389	807	235	365	355	128	614	611	261	210	151	144	357	94
LP6005691-DNA_B01_vs_LP6005689-DNA_E01__pv	6915	5302	984	1682	3000	1278	1483	773	5125	1451	3299	421	913	1178	1018	430
LP6005691-DNA_C01_vs_LP6005689-DNA_A02__pv	439	243	785	1693	61	82	1755	0	2560	585	780	262	241	273	424	47
LP6005691-DNA_D01_vs_LP6005689-DNA_B02__pv	24327	23643	649	761	14093	703	260	0	1202	0	1906	815	1114	354	284	0
LP6005691-DNA_E01_vs_LP6005689-DNA_D01__pv	1274	758	859	535	740	95	177	0	199	1102	906	13	143	243	100	0
LP6005691-DNA_F01_vs_LP6005689-DNA_F01__pv	7185	5367	769	1197	1818	983	586	39	1103	979	1157	409	348	610	301	0
LP6005691-DNA_G01_vs_LP6005689-DNA_G01__pv	0	0	61	73	9	6	14	0	10	0	29	0	0	19	19	33
LP6005691-DNA_H01_vs_LP6005689-DNA_H01__pv	1465	1308	299	375	693	173	276	44	572	195	489	0	111	109	206	60
LP6005935-DNA_A01_vs_LP6005979-DNA_A01__pv	10721	7139	898	2856	5177	1577	4339	1183	3845	972	4411	526	433	620	1256	982
LP6005935-DNA_A02_vs_LP6005934-DNA_A02__pv	2838	11425	511	994	2663	1948	611	372	646	238	1474	1899	1150	838	774	556
LP6005935-DNA_A03_vs_LP6005934-DNA_A03__pv	199	169	587	1876	0	856	614	839	1694	363	1450	824	139	425	492	620
LP6005935-DNA_B01_vs_LP6005934-DNA_B01__pv	301	692	781	336	544	1357	340	899	1074	2766	990	268	390	1204	594	908
LP6005935-DNA_B02_vs_LP6005934-DNA_B02__pv	6287	5891	1304	744	3086	3233	616	103	1915	1140	750	1059	2302	3721	46	553
LP6005935-DNA_B03_vs_LP6005934-DNA_B03__pv	10523	17694	376	1373	3223	0	1011	567	3246	2677	516	586	2628	4266	241	150
LP6005935-DNA_B04_vs_LP6005934-DNA_B04__pv	760	765	683	3273	463	1608	1227	558	3057	1018	1551	591	378	316	630	557
LP6005935-DNA_C01_vs_LP6005934-DNA_C01__pv	110	11292	0	12473	1255	0	17651	125602	4132	2887	0	236	1208	0	2215	4283
LP6005935-DNA_C02_vs_LP6005979-DNA_B01__pv	7286	5015	1167	2421	2001	3001	3034	662	1931	1070	1239	370	824	976	911	1026
LP6005935-DNA_C03_vs_LP6005934-DNA_C03__pv	349	306	451	858	93	455	599	204	600	514	528	0	104	122	232	192
LP6005935-DNA_C04_vs_LP6005934-DNA_C04__pv	12457	11611	876	2072	10896	1709	1292	1412	3052	1924	3153	785	827	968	2973	921
LP6005935-DNA_D01_vs_LP6005934-DNA_D01__pv	11418	5873	1243	1932	3531	1975	2413	524	3913	824	1929	436	510	456	655	0
LP6005935-DNA_D02_vs_LP6005934-DNA_D02__pv	8210	3893	985	495	3868	1753	1346	645	985	984	1639	0	801	672	338	237
LP6005935-DNA_D04_vs_LP6005934-DNA_C03__pv	993	788	348	611	549	410	670	179	1300	172	968	350	118	120	246	96
LP6005935-DNA_E01_vs_LP6005934-DNA_E01__pv	8776	11794	680	2310	8371	939	1086	760	1778	1863	1518	863	445	1132	797	656
LP6005935-DNA_E02_vs_LP6005934-DNA_E02__pv	4365	2906	884	1260	2349	1905	1847	269	962	2319	576	259	341	1174	291	675
LP6005935-DNA_E03_vs_LP6005934-DNA_E03__pv	3369	2583	528	1672	908	1043	2363	133	1681	1829	1145	228	570	467	1211	504
LP6005935-DNA_E04_vs_LP6005934-DNA_E02__pv	2206	1480	529	790	992	698	442	80	981	420	539	289	86	100	95	139
LP6005935-DNA_F01_vs_LP6005934-DNA_F01__pv	55	39	708	329	150	1746	313	476	224	1776	403	122	1635	166	344	291
LP6005935-DNA_F02_vs_LP6005934-DNA_F02__pv	21907	25675	3113	0	36477	2354	1762	1329	74	0	3078	1044	15	2768	3181	411
LP6005935-DNA_F03_vs_LP6005934-DNA_F03__pv	589	606	177	16324	373	0	7289	25008	257	3323	1951	5113	106	471	0	0
LP6005935-DNA_F04_vs_LP6007426-DNA_A01__pv	21820	16284	216	130	8783	40	128	1217	1358	0	1904	322	6327	1012	1469	66
LP6005935-DNA_G01_vs_LP6005934-DNA_G01__pv	3323	10602	528	2406	6125	0	2179	670	468	1324	1452	713	211	887	1612	172
LP6005935-DNA_G02_vs_LP6005979-DNA_C01__pv	559	456	387	1700	501	2615	763	1464	5173	1746	1745	584	1153	444	731	960
LP6005935-DNA_G03_vs_LP6005934-DNA_G03__pv	862	296	0	604	0	489	301	774	1221	1667	1501	0	343	843	869	362
LP6005935-DNA_H01_vs_LP6005934-DNA_H01__pv	5889	3903	711	1817	3118	2071	1041	964	3536	3051	1629	453	1361	1353	535	821
LP6005935-DNA_H02_vs_LP6005934-DNA_H02__pv	2319	2686	1137	2013	778	1294	453	877	1691	3166	2007	402	1860	2100	709	1028
LP6005935-DNA_H03_vs_LP6005934-DNA_H03__pv	663	0	3408	13612	2684	454	1787	30941	1587	1067	4693	3566	323	728	154	0
LP6007358-DNA_A01_vs_LP6007553-DNA_A01__pv	2100	1339	715	922	780	1069	1244	428	2495	1237	1316	533	318	502	644	388
LP6007394-DNA_A01_vs_LP6007393-DNA_A01__pv	2555	2016	372	1535	1565	58	493	112	513	1840	1004	49	133	645	326	129
LP6007396-DNA_A01_vs_LP6007395-DNA_A01__pv	3147	2411	1341	2073	1085	1626	1980	213	1566	928	1126	434	840	714	576	546
LP6007398-DNA_A01_vs_LP6007397-DNA_A01__pv	2021	693	683	1442	303	398	3539	498	1001	917	639	308	384	1008	669	161
