Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
LP6007427-DNA_A01_vs_LP6007426-DNA_A01__pv	49815	330	0	16730	1010	10758
LP6007428-DNA_A01_vs_LP6007426-DNA_A01__pv	191	1381	741	313	521	208
LP6007430-DNA_A01_vs_LP6007429-DNA_A01__pv	4625	1249	4490	1324	7861	1733
LP6007432-DNA_A01_vs_LP6007431-DNA_A01__pv	27674	2781	0	13099	574	1996
LP6007434-DNA_A01_vs_LP6007433-DNA_A01__pv	7915	4697	1122	4399	5520	1426
LP6007436-DNA_A01_vs_LP6007435-DNA_A01__pv	19332	1858	2159	7662	4056	2248
LP6007438-DNA_A01_vs_LP6007437-DNA_A01__pv	0	3917	1264	591	1253	1909
LP6007440-DNA_A01_vs_LP6007439-DNA_A01__pv	26518	5391	1266	20762	5689	3569
LP6007442-DNA_A01_vs_LP6007441-DNA_A01__pv	15911	9952	0	88130	6234	0
LP6007504-DNA_A01_vs_LP6007566-DNA_A01__pv	3606	1547	801	1128	1749	888
LP6007506-DNA_A01_vs_LP6007505-DNA_A01__pv	2691	1608	2686	1557	4845	2942
LP6007508-DNA_A01_vs_LP6007507-DNA_A01__pv	2564	2683	2012	724	2245	1989
LP6007512-DNA_A01_vs_LP6007511-DNA_A01__pv	7563	1577	5341	4508	4081	2701
LP6007514-DNA_A01_vs_LP6007513-DNA_A01__pv	1208	2636	2689	824	4127	971
LP6007516-DNA_A01_vs_LP6007515-DNA_A01__pv	830	6295	2237	1934	3982	2265
LP6007518-DNA_A01_vs_LP6007517-DNA_A01__pv	19202	8656	0	8506	4520	2604
LP6007520-DNA_A01_vs_LP6007519-DNA_A01__pv	1004	2153	1989	652	4710	939
LP6007521-DNA_A01_vs_LP6007519-DNA_A01__pv	2	844	1234	409	1655	427
LP6007523-DNA_A01_vs_LP6007522-DNA_A01__pv	272	2452	2266	1169	6856	1236
LP6007529-DNA_A01_vs_LP6007528-DNA_A01__pv	8125	1795	1546	4275	6231	3945
LP6007531-DNA_A01_vs_LP6007530-DNA_A01__pv	8851	6170	792	14565	2377	2106
LP6007533-DNA_A01_vs_LP6007532-DNA_A01__pv	1099	1564	1722	349	2949	1973
LP6007535-DNA_A01_vs_LP6007534-DNA_A01__pv	1680	1425	1281	0	1816	1870
LP6007536-DNA_A01_vs_LP6007534-DNA_A01__pv	1126	1708	639	26	1573	3820
LP6007538-DNA_A01_vs_LP6007537-DNA_A01__pv	14894	1837	1514	2413	4742	1713
LP6007540-DNA_A01_vs_LP6007539-DNA_A01__pv	3814	690	2805	4900	5478	858
LP6007542-DNA_A01_vs_LP6007541-DNA_A01__pv	5181	8662	2621	2701	6914	4660
LP6007544-DNA_A01_vs_LP6007569-DNA_A01__pv	1973	2814	2381	3334	7017	1593
LP6007546-DNA_A01_vs_LP6007568-DNA_A01__pv	480	0	2956	2716	3124	2392
LP6007548-DNA_A01_vs_LP6007547-DNA_A01__pv	1745	601	796	404	1630	1293
LP6007550-DNA_A01_vs_LP6007549-DNA_A01__pv	11412	731	968	11229	4549	2658
LP6007552-DNA_A01_vs_LP6007551-DNA_A01__pv	4093	4322	484	3914	3453	3990
LP6007567-DNA_A01_vs_LP6007524-DNA_A01__pv	3193	2754	2384	4722	3734	1339
LP6007591_vs_LP6007590__pv	11913	1855	2891	30732	4454	6466
LP6007592_vs_LP6007590__pv	1598	590	3105	1638	3409	1013
LP6007594_vs_LP6007593__pv	55	2699	5529	1425	6577	1030
LP6007595_vs_LP6007593__pv	3435	1360	1861	1599	3864	199
LP6007597_vs_LP6007596__pv	20105	7465	3545	0	6171	651
LP6007598_vs_LP6007596__pv	6359	1748	1226	0	2665	289
