NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
225	1494.266	8.693	227.203	7.474	0.015	0.99	70000.0
226	1496.623	8.685	227.053	7.477	0.015	0.99	70000.0
227	1499.919	8.714	227.963	7.508	0.015	0.99	90000.0
228	1488.825	8.618	227.025	7.444	0.015	0.99	140000.0
229	1499.038	8.644	228.158	7.459	0.015	0.99	70000.0
230	1499.826	8.706	228.522	7.523	0.015	0.989	150000.0
231	1497.27	8.62	227.32	7.421	0.014	0.99	70000.0
232	1498.362	8.667	228.011	7.465	0.015	0.99	70000.0
233	1495.922	8.712	227.998	7.515	0.015	0.99	60000.0
234	1502.96	8.706	229.324	7.533	0.015	0.99	100000.0
235	1499.966	8.715	228.17	7.533	0.015	0.99	90000.0
236	1499.827	8.683	228.298	7.478	0.015	0.99	50000.0
237	1499.06	8.702	228.711	7.509	0.015	0.99	70000.0
238	1498.99	8.696	229.055	7.537	0.015	0.99	70000.0
239	1497.497	8.667	228.501	7.481	0.015	0.99	70000.0
240	1501.291	8.677	229.338	7.495	0.015	0.99	80000.0
241	1501.886	8.713	229.629	7.543	0.015	0.99	110000.0
242	1494.404	8.694	227.965	7.533	0.015	0.989	100000.0
243	1497.618	8.699	228.494	7.498	0.015	0.99	120000.0
244	1500.527	8.734	228.747	7.523	0.015	0.989	90000.0
245	1503.081	8.661	230.507	7.512	0.015	0.989	100000.0
246	1501.898	8.694	229.43	7.531	0.015	0.99	150000.0
247	1490.497	8.666	227.774	7.497	0.015	0.99	130000.0
248	1495.685	8.677	227.839	7.472	0.015	0.99	140000.0
249	1503.6	8.754	228.643	7.524	0.015	0.989	50000.0
250	1495.9	8.698	228.371	7.483	0.015	0.99	120000.0
251	1493.421	8.681	227.791	7.5	0.015	0.99	130000.0
252	1496.805	8.684	227.75	7.503	0.015	0.99	50000.0
253	1498.109	8.689	228.165	7.455	0.015	0.99	120000.0
254	1490.05	8.604	226.526	7.402	0.014	0.99	50000.0
255	1494.044	8.668	227.749	7.479	0.015	0.99	110000.0
256	1494.57	8.687	228.297	7.497	0.015	0.99	100000.0
257	1491.756	8.65	227.452	7.474	0.015	0.989	70000.0
258	1494.598	8.715	227.291	7.491	0.015	0.99	100000.0
259	1501.54	8.718	229.657	7.535	0.015	0.99	100000.0
260	1497.271	8.634	228.211	7.474	0.014	0.99	60000.0
261	1493.829	8.673	226.83	7.464	0.015	0.99	100000.0
262	1495.761	8.687	227.998	7.463	0.015	0.99	60000.0
263	1495.434	8.692	228.087	7.504	0.015	0.989	140000.0
264	1487.07	8.633	226.255	7.437	0.015	0.99	60000.0
265	1489.398	8.701	226.829	7.483	0.015	0.99	90000.0
266	1497.465	8.709	228.662	7.501	0.015	0.99	110000.0
267	1501.28	8.737	228.805	7.547	0.015	0.99	60000.0
268	1496.324	8.685	227.765	7.496	0.015	0.99	80000.0
269	1497.063	8.686	228.418	7.48	0.015	0.99	130000.0
